horizon_hours,steps,lead_hours,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error,operator
1.5,1,1.43,2,0.8,marginal,baseline,66,0.9090909090909091,0.8125573488135269,0.9659028672287315,0.10909090909090902,0.09090909090909091,1.0976748762573532,0.1427436508997067,13.440987675492128,,gp
1.5,1,1.43,2,0.8,adaptive,ALL,66,0.8181818181818182,0.7039345441700697,0.9023647979841516,0.018181818181818188,0.18181818181818182,1.1033199811942456,0.17148388428895225,14.844026153543906,,gp
1.5,1,1.43,2,0.8,adaptive,baseline,66,0.8181818181818182,0.7039345441700697,0.9023647979841516,0.018181818181818188,0.18181818181818182,1.1033199811942456,0.17148388428895225,14.844026153543906,,gp
1.5,1,1.43,2,0.8,mondrian,ALL,66,0.7878787878787878,0.6697885403521797,0.878898067744857,-0.0121212121212122,0.21212121212121213,1.0736291081286482,0.13667442651668676,14.635183779089127,,gp
1.5,1,1.43,2,0.8,mondrian,baseline,66,0.7878787878787878,0.6697885403521797,0.878898067744857,-0.0121212121212122,0.21212121212121213,1.0736291081286482,0.13667442651668676,14.635183779089127,,gp
1.5,1,1.43,2,0.9,marginal,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.0696969696969697,0.030303030303030304,1.1328594846031605,0.16949784563106535,14.253850924997334,,gp
1.5,1,1.43,2,0.9,marginal,baseline,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.0696969696969697,0.030303030303030304,1.1328594846031605,0.16949784563106535,14.253850924997334,,gp
1.5,1,1.43,2,0.9,adaptive,ALL,66,0.8787878787878788,0.7750598442768424,0.9461891381581342,-0.021212121212121238,0.12121212121212122,1.1219326919807957,0.1810341681439335,14.892297032315664,,gp
1.5,1,1.43,2,0.9,adaptive,baseline,66,0.8787878787878788,0.7750598442768424,0.9461891381581342,-0.021212121212121238,0.12121212121212122,1.1219326919807957,0.1810341681439335,14.892297032315664,,gp
1.5,1,1.43,2,0.9,mondrian,ALL,66,0.9393939393939394,0.8520324360541544,0.983241777301832,0.039393939393939426,0.06060606060606061,1.1144554883157927,0.15554166440563472,13.653865039876894,,gp
